Disease_1,Disease_2,is_a,Resemble,Source
DOID:0001816,DOID:175,1,0,DO
DOID:175,DOID:176,1,0,DO
DOID:0002116,DOID:10124,1,0,DO
DOID:10124,DOID:5614,1,0,DO
DOID:0014667,DOID:4,1,0,DO
DOID:0040001,DOID:0060524,1,0,DO
DOID:0060524,DOID:0060495,1,0,DO
DOID:0040002,DOID:0060500,1,0,DO
DOID:0060500,DOID:1205,1,0,DO
DOID:0040003,DOID:0060519,1,0,DO
DOID:0060519,DOID:0060500,1,0,DO
DOID:0040004,DOID:0060519,1,0,DO
DOID:0040005,DOID:0040021,1,0,DO
DOID:0040021,DOID:0060500,1,0,DO
DOID:0040006,DOID:0060500,1,0,DO
DOID:0040007,DOID:0060500,1,0,DO
DOID:0040008,DOID:0060500,1,0,DO
DOID:0040009,DOID:0060500,1,0,DO
DOID:0040010,DOID:0060500,1,0,DO
DOID:0040011,DOID:0060500,1,0,DO
DOID:0040012,DOID:0060500,1,0,DO
DOID:0040013,DOID:0060500,1,0,DO
DOID:0040014,DOID:0060500,1,0,DO
DOID:0040015,DOID:0060500,1,0,DO
DOID:0040016,DOID:0060500,1,0,DO
DOID:0040017,DOID:0060500,1,0,DO
DOID:0040018,DOID:0060500,1,0,DO
DOID:0040019,DOID:0060500,1,0,DO
DOID:0040020,DOID:0040021,1,0,DO
DOID:0040022,DOID:0060500,1,0,DO
DOID:0040023,DOID:0040021,1,0,DO
DOID:0040024,DOID:0040021,1,0,DO
DOID:0040025,DOID:0040021,1,0,DO
DOID:0040026,DOID:0060500,1,0,DO
DOID:0040027,DOID:0060500,1,0,DO
DOID:0040028,DOID:0060500,1,0,DO
DOID:0040029,DOID:0060500,1,0,DO
DOID:0040030,DOID:0040021,1,0,DO
DOID:0040031,DOID:0060500,1,0,DO
DOID:0040032,DOID:0060500,1,0,DO
DOID:0040033,DOID:0060519,1,0,DO
DOID:0040034,DOID:0060500,1,0,DO
DOID:0040035,DOID:0060500,1,0,DO
DOID:0040036,DOID:0060500,1,0,DO
DOID:0040037,DOID:0060519,1,0,DO
DOID:0040038,DOID:9415,1,0,DO
DOID:9415,DOID:0080811,1,0,DO
DOID:0040040,DOID:0040041,1,0,DO
DOID:0040041,DOID:9415,1,0,DO
DOID:0040042,DOID:0040041,1,0,DO
DOID:0040043,DOID:0040041,1,0,DO
DOID:0040044,DOID:0040041,1,0,DO
