primary,name,do_id,kegg_id,pharmgkb_id,mesh_id,umls_cui,icd_10,icd_9,omim_id,iDISK_id
DOID:4,disease,DOID:4,,,D004194,C0012634,,,,DC0478447
DOID:0001816,angiosarcoma,DOID:0001816,H01557,PA444390,D006394,C0018923,,,,
DOID:175,vascular cancer,DOID:175,,,D019043,C0282607,,,,
DOID:0002116,pterygium,DOID:0002116,,,,C0033999,,,,
DOID:10124,corneal disease,DOID:10124,,PA165108965,D003316,C0010034,H18.9,371.9,,
DOID:0014667,disease of metabolism,DOID:0014667,,PA444938,D008659,C0025517,E88.9,277.9,,DC0481705
DOID:0040001,shrimp allergy,DOID:0040001,,,,C1628514,,,,
DOID:0060524,crustacean allergy,DOID:0060524,,,,,,,,
DOID:0040002,aspirin allergy,DOID:0040002,,,,C0004058,,,,
DOID:0060500,drug allergy,DOID:0060500,,PA443936,D004342,C0013182,,,,
DOID:0040003,benzylpenicillin allergy,DOID:0040003,,,,C0571411,,,,
DOID:0060519,beta-lactam allergy,DOID:0060519,,,,C0741476,,,,
DOID:0040004,amoxicillin allergy,DOID:0040004,,,,C0571417,,,,
DOID:0040005,ceftriaxone allergy,DOID:0040005,,,,C0571463,,,,
DOID:0040021,cephalosporin allergy,DOID:0040021,,,,C0571444,,,,
DOID:0040006,carbamazepine allergy,DOID:0040006,,,,C0570787,,,,
DOID:0040007,abacavir allergy,DOID:0040007,,,,C4075831,,,,
DOID:0040008,isoniazide allergy,DOID:0040008,,,,C5385188,Z88.1,,,
DOID:0040009,lidocaine allergy,DOID:0040009,,,,C0570646,,,,
DOID:0040010,mepivacaine allergy,DOID:0040010,,,,C5385177,Z88.4,,,
DOID:0040011,phenobarbital allergy,DOID:0040011,,,,C0570785,,,,
DOID:0040012,phenytoin allergy,DOID:0040012,,,,C0570789,,,,
DOID:0040013,ranitidine allergy,DOID:0040013,,,,C0570577,,,,
DOID:0040014,corticosteroid allergy,DOID:0040014,,,,,,,,
DOID:0040015,sulfonamide allergy,DOID:0040015,,,,C0038757,,,,
DOID:0040016,sulfamethoxazole allergy,DOID:0040016,,,,,,,,
DOID:0040017,suprofen allergy,DOID:0040017,,,,,,,,
DOID:0040018,thiopental allergy,DOID:0040018,,,,C0570633,,,,
DOID:0040019,d-mannitol allergy,DOID:0040019,,,,C0571922,,,,
DOID:0040020,cefotaxime allergy,DOID:0040020,,,,C0571457,,,,
DOID:0040022,amodiaquine allergy,DOID:0040022,,,,C0571303,,,,
DOID:0040023,cefaclor allergy,DOID:0040023,,,,C0571453,,,,
DOID:0040024,ceftazidime allergy,DOID:0040024,,,,C0571458,,,,
DOID:0040025,cefuroxime allergy,DOID:0040025,,,,C0571454,,,,
DOID:0040026,chlorhexidine allergy,DOID:0040026,,,,C0571344,,,,
DOID:0040027,cyclophosphamide allergy,DOID:0040027,,,,C0570670,,,,
DOID:0040028,succinylcholine allergy,DOID:0040028,,,,C0571140,,,,
DOID:0040029,trimethoprim allergy,DOID:0040029,,,,C0571390,,,,
DOID:0040030,cefixime allergy,DOID:0040030,,,,C0571460,,,,
DOID:0040031,diclofenac allergy,DOID:0040031,,,,C0570540,,,,
DOID:0040032,carbapenem allergy,DOID:0040032,,,,C0571443,,,,
DOID:0040033,piperacillin allergy,DOID:0040033,,,,C0571427,,,,
DOID:0040034,rocuronium allergy,DOID:0040034,,,,C0571149,,,,
DOID:0040035,sulfasalazine allergy,DOID:0040035,,,,C0570587,,,,
DOID:0040036,tubocurarine allergy,DOID:0040036,,,,C0571147,,,,
DOID:0040037,aztreonam allergy,DOID:0040037,,,,C0571476,,,,
DOID:0040038,meropenem allergy,DOID:0040038,,,,C2711220,,,,
DOID:9415,allergic asthma,DOID:9415,,,,C0155877,J45,493.0,,
DOID:0040040,hexamethylene diisocyanate allergic asthma,DOID:0040040,,,,,,,,
DOID:0040041,isocyanates allergic asthma,DOID:0040041,,,,,,,,
DOID:0040042,"diphenylmethane-4,4'-diisocyanate allergic asthma",DOID:0040042,,,,,,,,
DOID:0040043,toluene meta-diisocyanate allergic asthma,DOID:0040043,,,,,,,,
DOID:0040044,methyl isocyanate allergic asthma,DOID:0040044,,,,,,,,
DOID:0040045,nickel allergic asthma,DOID:0040045,,,,,,,,
